Imagens,Nome,Descrição,Categorias,encontrado
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO SOLO REDONDA CINZA FOSCO JAPI.png?raw=true,CUBA APOIO SOLO REDONDA CINZA FOSCO JAPI,"A peça possue borda fina e um relevo que a deixa delicada e elegante. O nome e as cores foram inspirados em elementos naturais, como sal, carvão, pedra e areia, alinhado ao conceito de volta ao natural que é uma forte tendência do momento.

",Banheiro,True
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO VENEZA BRANCA 46X34X15,5CM JAPI.png?raw=true","CUBA APOIO VENEZA BRANCA 46X34X15,5CM JAPI","Cuba Apoio Retangular Louça 46cmx34,5cm Veneza Branca Japi Cor: Branco Acabamento: Esmaltado Diâmetro: 4.5 cm Quantidade de furos para torneira: 1 Peso: 8496 g A cuba Veneza, não só resolverá suas necessidades de higiene pessoal, além será um diferencial em seu banheiro e ajudará você a criar uma atmosfera agradável. Durável e fácil de usar Feita em cerâmica, este artefato oferece excelente qualidade e durabilidade, e também é uma oportunidade estética para decorar seu banheiro, ao qual trará personalida.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA EMBUTIR OVAL 400X300MM BRANCO GELO DECA.png?raw=true,CUBA EMBUTIR OVAL 400X300MM BRANCO GELO DECA,"Benefícios - Perfeito escoamento: Fundo da cuba com inclinação ideal para escoamento, evitando o acúmulo de resíduos e água. - Versátil: Possibilidade de instalação em diversos tipos de ambientes. Especificações do Produto - Linha do produto: Linha L. - Devido a sua aplicação, proporciona maior facilidade da limpeza e espaço na bancada.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA EMBUTIR OVAL 490X365MM BRANCO GELO DECA.png?raw=true,CUBA EMBUTIR OVAL 490X365MM BRANCO GELO DECA,"Benefícios - Perfeito escoamento: Fundo da cuba com inclinação ideal para escoamento, evitando o acúmulo de resíduos e água. - Versátil: Possibilidade de instalação em diversos tipos de ambientes. Especificações do Produto - Linha do produto: Linha L. - Devido a sua aplicação, proporciona maior facilidade da limpeza e espaço na bancada.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA OVAL EMBUTIR BRANCA CBO-09 LORENZETTI.png?raw=true,CUBA OVAL EMBUTIR BRANCA CBO-09 LORENZETTI,"A Cuba de Embutir em formato oval, modelo CBO-09 na cor branca da Lorenzetti tem tamanho de 49,5x37cm e é produzida em cerâmica. Cuba que possui o melhor custo benefício do mercado. Modernidade, qualidade, baixo custo e permite melhor aproveitamento da bancada.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA QUADRADA APOIO MESA BRANCA SA-02 LORENZETTI.png?raw=true,CUBA QUADRADA APOIO MESA BRANCA SA-02 LORENZETTI,"A Cuba de Apoio Quadrada 37cm Branca da Lorenzetti é perfeita para complementar de forma sofisticada e moderna banheiros, lavabos e suítes. Produto ideal para espaços amplos como para ambientes menores, garantindo uma maior eficiência do espaço seja em bancadas ou em gabinetes de banheiros.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA RETÂNGULAR APOIO MESA BRANCA SA-01 LORENZETTI.png?raw=true,CUBA RETÂNGULAR APOIO MESA BRANCA SA-01 LORENZETTI,"A Cuba Apoio Lorenzetti AS-01 Retangular 40,5x37,5cm Branca possui bordas finas com design elegante e moderno, cantos internos arredondados que ajuda a evitar o acúmulo de sujeira e facilita a limpeza. Sua cor branca feita em cerâmica e com formato retangular traz muita leveza ao ambiente, deixando um banheiro ""clean"". Como recomendações de uso, sugerimos que sua limpeza seja feita apenas com pano úmido e em seguida um seco. Não é recomendado o uso de qualquer tipo de produto abrasivo.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ESPELHEIRA GOTA CAPPUCCINO MGM.png?raw=true,ESPELHEIRA GOTA CAPPUCCINO MGM,Espelheira Gota Cappuccino MGM,Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ESPELHEIRA LUA FREIJO MGM.png?raw=true,ESPELHEIRA LUA FREIJO MGM,"A Espelheira para Banheiro da Linha Lua na cor Cappuccino, tem tamanho de 60x60cm e profundidade 1,5cm. Possui alça diferenciada em couro sintético e design super atrativo, em seu kit já vem com gancho metálico na cor cobre fosco com parafusos e buchas para fixação na parede ou painel ripado.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ESPELHEIRA LUMINI FREIJO/COBRE MGM.png?raw=true,ESPELHEIRA LUMINI FREIJO_COBRE MGM,"A Espelheira para Banheiro da Linha Lumini na cor Freijo e Cobre, tem tamanho de 40,7x87,5cm e profundidade 2,3cm. Possui formato oval, com detalhe de estrutura metálica na cor cobre fosco, possui estrutura metálica na cor cobre fosco e ferragem para fixação na parede.",Banheiro,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ESPELHEIRA MONET CIMENTO MGM.png?raw=true,ESPELHEIRA MONET CIMENTO MGM,ESPELHEIRA MONET CIMENTO MGM,Banheiro,True
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/KIT BACIA COM CAIXA ACOPLADA
ART BRANCO DUAL FLUX - INCEPA.png?raw=true",KIT BACIA COM CAIXA ACOPLADA ART BRANCO DUAL FLUX INCEPA,"Linha Madeira

Tamanho 52x52

PEI 3",Banheiro,False
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/KIT BACIA COM CAIXA ACOPLADA ASPEN BRANCO DUAL FLUX
DECA.png?raw=true",KIT BACIA COM CAIXA ACOPLADA ASPEN BRANCO DUAL FLUX DECA,,Banheiro,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/KIT BACIA COM CAIXA ACOPLADA BOSS BRANCO DUAL FLUX INCEPA.png?raw=true,KIT BACIA COM CAIXA ACOPLADA BOSS BRANCO DUAL FLUX INCEPA,,Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/KIT BACIA COM CAIXA ACOPLADA CITY BRANCO DUAL FLUX COM SMART CLEAN CELITE.png?raw=true,KIT BACIA COM CAIXA ACOPLADA CITY BRANCO DUAL FLUX COM SMART CLEAN CELITE,,Banheiro,True
